important_count,file
1042,assets/css/pages/home/mobile/sections.css
962,assets/css/pages/home/index-final-refinement.css
867,assets/css/components/internal/chat-workspace-contract.css
771,assets/css/pages/home/chrome.css
722,assets/css/components/shell/doke-shell-contract.css
700,assets/css/components/navigation/app-mobile-header-contract.css
484,assets/css/pages/home/mobile/search.css
479,assets/css/core/layout/responsive-shell.css
429,assets/css/pages/home-search-chrome.css
400,assets/css/pages/home.css
348,assets/css/components/navigation/mobile-search-header-shared.css
308,assets/css/components/before-after-workers-preview/mobile-comment-sheets.css
287,assets/css/pages/home-refresh/mobile-index-pass.css
277,assets/css/components/navigation/mobile-chrome-lock.css
268,assets/css/components/before-after-workers-preview/workers-mobile-fullscreen-contract.css
260,assets/css/components/overlays/mobile-action-surface-contract.css
250,assets/css/pages/home-overlays/workers-feed-polish.css
242,assets/css/pages/home-sections.css
240,assets/css/components/shell/mobile-app-shell.css
236,assets/css/pages/home/mobile/drawer.css
234,assets/css/pages/home-tablet.css
227,assets/css/components/navigation/mobile-page-rhythm-contract.css
218,assets/css/components/ui-surface/modal-alignment.css
205,assets/css/components/navigation/app-mobile-topbar.css
198,assets/css/pages/perfil-publications.css
192,assets/css/pages/mensagens/community-parity.css
187,assets/css/components/navigation/mobile-drawer-standard.css
187,assets/css/components/navigation/home-mobile-drawer.css
180,assets/css/components/shell/app-shell.css
179,assets/css/pages/home/mobile-composition.css
172,assets/css/pages/pedidos/mobile-longterm-normalization.css
164,assets/css/pages/shell-normalize.css
156,assets/css/components/before-after-workers-preview/shared-publication-polish.css
151,assets/css/pages/search-results/mobile-polish.css
150,assets/css/components/search/search-filter-contract.css
146,assets/css/components/navigation/app-mobile-search.css
138,assets/css/pages/home/sections.css
129,assets/css/pages/home/mobile-layout.css
126,assets/css/components/cards/mobile-card-contract.css
114,assets/css/pages/home/mobile/featured.css
111,assets/css/pages/search-results/compact-services.css
110,assets/css/pages/home/mobile-alignment.css
108,assets/css/pages/home-ux-popovers.css
107,assets/css/components/cards/recommendation-card.css
105,assets/css/components/ui-surface/buttons-close.css
104,assets/css/pages/search-results/worker-preview-layout-v34.css
102,assets/css/pages/mensagens/mobile-header-drawer.css
99,assets/css/components/search/search-autocomplete.css
98,assets/css/components/layout/responsive-page-contract.css
97,assets/css/components/navigation/header-mobile.css
85,assets/css/pages/search-results.css
76,assets/css/pages/search-results/preview-parity.css
74,assets/css/patterns/responsive-polish.css
74,assets/css/pages/home/mobile/base.css
74,assets/css/pages/home-shell.css
72,assets/css/pages/search-results/mobile-density.css
71,assets/css/pages/comunidade-interna/compact-final-adjustments.css
70,assets/css/pages/home/mobile-interactions.css
68,assets/css/components/navigation/bottom-nav.css
67,assets/css/core/layout/topbar.css
65,assets/css/pages/home-refresh/responsive.css
64,assets/css/pages/search-results/structure-contract-v2.css
62,assets/css/pages/internal-shell.css
62,assets/css/pages/home/hero.css
61,assets/css/pages/carteira.css
57,assets/css/patterns/remaining-pages.css
57,assets/css/pages/search-results/final-parity.css
57,assets/css/components/cards/service-card.css
56,assets/css/pages/search-results/results-density-preview-contract.css
53,assets/css/pages/home/workers-preview.css
51,assets/css/pages/home/mobile/categories.css
51,assets/css/components/chat-composer.css
46,assets/css/pages/results/results-grid-polish.css
45,assets/css/pages/pedidos.css
44,assets/css/components/cards/mobile-list-card-system.css
42,assets/css/pages/home-refresh/bridges.css
40,assets/css/components/shell/mobile-base-stability.css
38,assets/css/pages/perfil-budget-modal/centering-upload-success.css
38,assets/css/components/ui-surface/forms-controls.css
38,assets/css/components/before-after-workers-preview/before-after-media.css
37,assets/css/pages/comunidade-interna/full-bleed.css
35,assets/css/pages/perfil-budget-modal/select-layering.css
34,assets/css/pages/search-results/final-normalization.css
34,assets/css/pages/perfil-reviews-page.css
32,assets/css/pages/app-shell-polish.css
31,assets/css/pages/search-results/layout-density-contract.css
31,assets/css/components/ui-surface/overlay-root.css
30,assets/css/pages/selection/selection-cleanup.css
30,assets/css/pages/search-results/mobile-header-refresh.css
29,assets/css/pages/mensagens/final-standardization.css
29,assets/css/components/ui-surface/cards-media.css
26,assets/css/components/ui-surface/responsive.css
25,assets/css/components/ui-surface/surface-contract.css
25,assets/css/components/overlays/mobile-overlay-system.css
23,assets/css/pages/mensagens/base-layout.css
23,assets/css/components/profile/profile-services-grid.css
22,assets/css/pages/perfil-budget-modal/final-polish-success.css
22,assets/css/components/cards/service-card-actions.css
22,assets/css/components/before-after-workers-preview/before-after-single-media.css
20,assets/css/pages/comunidade-interna/chat-isolation.css
20,assets/css/components/avatar.css
18,assets/css/pages/search-results/mobile-card-contract.css
17,assets/css/core/mobile/ui-standard.css
16,assets/css/pages/perfil/profile-trim.css
16,assets/css/pages/comunidade-interna/fullscreen-shell.css
15,assets/css/components/shell/responsive-boundary.css
13,assets/css/pages/configuracoes/mobile-menu-flow.css
13,assets/css/pages/comunidade-interna/internal-modal-legacy.css
12,assets/css/patterns/internal-pages.css
12,assets/css/pages/search-results/workers-desktop.css
12,assets/css/pages/search-results/desktop-envelope.css
12,assets/css/pages/notificacoes/selection-state.css
12,assets/css/pages/mensagens/responsive-pass.css
12,assets/css/components/cards/card-grid-contract.css
11,assets/css/pages/search-results/rhythm.css
11,assets/css/pages/internal-list-pages.css
11,assets/css/pages/detalhe-anuncio.css
11,assets/css/pages/comunidade-interna/members-panel.css
11,assets/css/components/shell/page-container-contract.css
10,assets/css/pages/pedidos/selection-cleanup.css
