literal_border_radius_count,file
73,assets/css/pages/pedidos.css
70,assets/css/pages/home/layout.css
66,assets/css/pages/home-sections.css
50,assets/css/pages/home/sections.css
46,assets/css/pages/home/index-final-refinement.css
45,assets/css/pages/detalhe-anuncio.css
44,assets/css/pages/mensagens/base-layout.css
41,assets/css/pages/carteira.css
39,assets/css/pages/perfil.css
38,assets/css/pages/home/mobile/sections.css
37,assets/css/components/internal/chat-workspace-contract.css
36,assets/css/pages/home/chrome.css
34,assets/css/pages/pagamento.css
32,assets/css/pages/perfil-publications.css
32,assets/css/core/ui/global-components.css
29,assets/css/pages/home-refresh/mobile-index-pass.css
28,assets/css/pages/orcamento.css
26,assets/css/pages/post-service.css
26,assets/css/pages/comunidade/base-and-discovery.css
26,assets/css/pages/comunidade-interna/base.css
25,assets/css/pages/home-search-chrome.css
25,assets/css/pages/home-refresh/sections-and-cards.css
25,assets/css/pages/home-overlays/before-after-preview.css
23,assets/css/pages/home/mobile/search.css
22,assets/css/core/layout/responsive-shell.css
21,assets/css/core/layout/topbar.css
21,assets/css/components/shell/doke-shell-contract.css
20,assets/css/pages/comunidade/discovery-v2.css
19,assets/css/pages/home.css
19,assets/css/pages/comunidade/discovery-v3.css
19,assets/css/components/ui/doke-ui-system.css
18,assets/css/pages/notificacoes/base-layout.css
18,assets/css/pages/internal-list-pages.css
18,assets/css/pages/home-refresh/mobile-cards.css
18,assets/css/components/profile/profile-reviews.css
17,assets/css/pages/perfil-edit-modal.css
17,assets/css/pages/mensagens/mobile-header-drawer.css
16,assets/css/pages/wallet-manage.css
16,assets/css/pages/ui-kit.css
16,assets/css/pages/perfil-reviews-page.css
16,assets/css/components/shell/app-shell.css
15,assets/css/pages/comunidade-interna/compact-final-adjustments.css
15,assets/css/components/cards/service-card.css
15,assets/css/components/before-after-workers-preview/mobile-comment-sheets.css
14,assets/css/pages/mensagens/community-parity.css
14,assets/css/pages/home-overlays/workers-feed-base.css
13,assets/css/pages/search-results/base-layout.css
13,assets/css/pages/home/overlays.css
13,assets/css/pages/home-overlays/location-address.css
13,assets/css/pages/comunidade-interna/internal-modal-legacy.css
13,assets/css/components/overlays/overlay-contract.css
13,assets/css/components/navigation/app-mobile-header-contract.css
12,assets/css/pages/perfil-budget-modal/quote-flow.css
12,assets/css/pages/perfil-budget-modal/final-polish-success.css
12,assets/css/components/profile/profile-layout.css
12,assets/css/components/profile/profile-about.css
12,assets/css/components/overlays/mobile-action-surface-contract.css
12,assets/css/components/before-after-workers-preview/workers-modal.css
11,assets/css/pages/search-results.css
11,assets/css/pages/home-shell.css
11,assets/css/pages/home-overlays/workers-feed-polish.css
11,assets/css/pages/configuracoes/mobile-header-drawer.css
11,assets/css/pages/auth.css
11,assets/css/components/profile/profile-content-rail.css
11,assets/css/components/profile/profile-achievements.css
11,assets/css/components/internal/filter-select-standard.css
11,assets/css/components/internal/chat-workspace.css
11,assets/css/components/cards/card-system.css
10,assets/css/pages/search-results/mobile-polish.css
10,assets/css/pages/profile-reviews.css
10,assets/css/pages/pedidos/mobile-longterm-normalization.css
10,assets/css/pages/home/hero.css
10,assets/css/pages/comunidade/entry-create-modals.css
10,assets/css/pages/comunidade-interna/visual.css
10,assets/css/pages/comunidade-interna/entry-create-modals.css
10,assets/css/pages/comunidade-interna/composer-media-actions.css
10,assets/css/pages/app-shell-polish.css
9,assets/css/patterns/internal-pages.css
9,assets/css/pages/home/mobile/drawer.css
9,assets/css/pages/home/mobile-composition.css
9,assets/css/pages/home-refresh/responsive-base.css
9,assets/css/pages/configuracoes/professional-harmonization.css
9,assets/css/components/search/search-filter-contract.css
9,assets/css/components/navigation/mobile-search-header-shared.css
9,assets/css/components/before-after-workers-preview/before-after-media.css
8,assets/css/pages/results/shell.css
8,assets/css/pages/perfil-budget-modal/select-layering.css
8,assets/css/pages/perfil-budget-modal/doke-select-standard.css
8,assets/css/pages/orders-hero.css
8,assets/css/pages/home-tablet.css
8,assets/css/pages/home-overlays/order-feedback.css
8,assets/css/pages/configuracoes/content-cards-forms.css
8,assets/css/components/navigation/mobile-drawer-standard.css
8,assets/css/components/navigation/home-mobile-drawer.css
8,assets/css/components/media-lightbox.css
8,assets/css/components/internal/list-page-toolbar.css
8,assets/css/components/chat-composer.css
8,assets/css/components/cards/mobile-card-contract.css
7,assets/css/pages/search-results/preview-parity.css
7,assets/css/pages/internal-action-surfaces.css
7,assets/css/core/ui/patterns.css
7,assets/css/components/shell/mobile-app-shell.css
7,assets/css/components/navigation/header-mobile.css
7,assets/css/components/internal/action-surfaces.css
7,assets/css/components/before-after-workers-preview/workers-mobile-fullscreen-contract.css
6,assets/css/patterns/remaining-pages.css
6,assets/css/pages/search-results/final-parity.css
6,assets/css/pages/notificacoes/internal-page-header.css
6,assets/css/pages/home/mobile-layout.css
6,assets/css/pages/configuracoes/base-shell-topbar.css
6,assets/css/core/mobile/ui-standard.css
6,assets/css/core/layout/responsive-base.css
6,assets/css/components/ui-surface/modal-alignment.css
6,assets/css/components/navigation/mobile-chrome-lock.css
6,assets/css/components/internal/list-page-aliases.css
6,assets/css/components/before-after-workers-preview/shared-publication-polish.css
5,assets/css/pages/search-results/responsive-pass.css
5,assets/css/pages/search-results/mobile-density.css
5,assets/css/pages/results/filters.css
5,assets/css/pages/perfil-budget-modal/centering-upload-success.css
5,assets/css/pages/home/mobile/featured.css
5,assets/css/pages/home-ux-popovers.css
5,assets/css/pages/home-refresh/overlays-feedback.css
5,assets/css/pages/configuracoes/shell-sync.css
5,assets/css/pages/configuracoes/navigation-layout.css
5,assets/css/core/layout/shell.css
5,assets/css/core/base.css
5,assets/css/components/search/search-autocomplete.css
5,assets/css/components/profile/profile-services-grid.css
5,assets/css/components/navigation/mobile-page-rhythm-contract.css
5,assets/css/components/navigation/bottom-nav.css
5,assets/css/components/navigation/app-mobile-topbar.css
5,assets/css/components/flows/doke-product-flows.css
5,assets/css/components/before-after-workers-preview/before-after-sidebar.css
5,assets/css/components/avatar.css
4,assets/css/pages/shell-normalize.css
4,assets/css/pages/search-results/compact-services.css
4,assets/css/pages/home-refresh/responsive.css
4,assets/css/pages/home-refresh/bridges.css
4,assets/css/pages/configuracoes/final-responsive-pass.css
4,assets/css/components/ui/doke-legacy-bridge.css
4,assets/css/components/ui-surface/cards-media.css
4,assets/css/components/shell/desktop-topbar.css
4,assets/css/components/navigation/app-header.css
4,assets/css/components/before-after-workers-preview/before-after-comments-v5.css
3,assets/css/pages/search-results/mobile-header-refresh.css
3,assets/css/pages/search-results/mobile-card-contract.css
3,assets/css/pages/results/index.css
3,assets/css/pages/results/discovery-rails.css
3,assets/css/pages/notificacoes/selection-panel-card.css
3,assets/css/pages/internal-shell.css
3,assets/css/pages/home/footer.css
3,assets/css/pages/home-refresh/tablet-rails.css
3,assets/css/pages/configuracoes/mobile-menu-flow.css
3,assets/css/pages/comunidade-interna/chat-isolation.css
3,assets/css/components/ui-surface/buttons-close.css
3,assets/css/components/shell/desktop-search.css
3,assets/css/components/overlays/mobile-overlay-system.css
3,assets/css/components/navigation/search-bar.css
3,assets/css/components/navigation/header-desktop.css
3,assets/css/components/internal/surface-contract.css
3,assets/css/components/forms-actions/form-action-contract.css
3,assets/css/components/cards/recommendation-card.css
3,assets/css/components/cards/mobile-list-card-system.css
2,assets/css/pages/sidebar-unified.css
2,assets/css/pages/search-results/structure-contract-v2.css
2,assets/css/pages/search-results/layout-density-contract.css
2,assets/css/pages/results/states.css
2,assets/css/pages/perfil/mobile-public-profile.css
2,assets/css/pages/perfil-budget-modal/simplification.css
2,assets/css/pages/perfil-budget-modal/shell-base.css
2,assets/css/pages/notificacoes/pedidos-parity.css
2,assets/css/pages/notificacoes/mobile-header-alignment.css
2,assets/css/pages/home/mobile-interactions.css
2,assets/css/pages/home/mobile-alignment.css
