shell_or_global_selector_hits,file
607,assets/css/pages/home/index-final-refinement.css
502,assets/css/components/shell/doke-shell-contract.css
336,assets/css/components/shell/app-shell.css
335,assets/css/components/internal/chat-workspace-contract.css
331,assets/css/pages/home/mobile/sections.css
328,assets/css/pages/home/layout.css
318,assets/css/pages/home/chrome.css
271,assets/css/pages/mensagens/base-layout.css
264,assets/css/pages/shell-normalize.css
252,assets/css/pages/home-refresh/mobile-index-pass.css
251,assets/css/pages/home-search-chrome.css
246,assets/css/components/navigation/app-mobile-header-contract.css
242,assets/css/pages/home.css
196,assets/css/pages/home-shell.css
179,assets/css/components/navigation/mobile-search-header-shared.css
179,assets/css/components/internal/filter-select-standard.css
175,assets/css/pages/pedidos.css
170,assets/css/pages/home/mobile/drawer.css
163,assets/css/pages/perfil-publications.css
159,assets/css/pages/home-sections.css
159,assets/css/pages/app-shell-polish.css
151,assets/css/components/navigation/mobile-chrome-lock.css
146,assets/css/pages/mensagens/mobile-header-drawer.css
143,assets/css/components/internal/list-page-toolbar.css
135,assets/css/pages/home-tablet.css
123,assets/css/pages/search-results/mobile-polish.css
122,assets/css/pages/home-refresh/tablet-rails.css
121,assets/css/pages/home-refresh/responsive.css
117,assets/css/patterns/responsive-polish.css
110,assets/css/pages/home-refresh/hero-responsive.css
97,assets/css/pages/search-results.css
96,assets/css/pages/internal-action-surfaces.css
96,assets/css/components/internal/action-surfaces.css
95,assets/css/pages/home/mobile/search.css
93,assets/css/pages/comunidade-interna/compact-final-adjustments.css
93,assets/css/components/navigation/header-mobile.css
91,assets/css/patterns/internal-pages.css
91,assets/css/pages/perfil-reviews-page.css
91,assets/css/components/chat-composer.css
88,assets/css/pages/mensagens/community-parity.css
82,assets/css/pages/search-results/mobile-density.css
81,assets/css/pages/sidebar-unified.css
76,assets/css/components/layout/responsive-page-contract.css
75,assets/css/pages/home/mobile/base.css
74,assets/css/pages/search-results/worker-preview-layout-v34.css
74,assets/css/pages/orders-hero.css
73,assets/css/pages/configuracoes/mobile-header-drawer.css
73,assets/css/components/shell/mobile-app-shell.css
73,assets/css/components/before-after-workers-preview/workers-mobile-fullscreen-contract.css
71,assets/css/components/before-after-workers-preview/mobile-comment-sheets.css
69,assets/css/components/shell/mobile-base-stability.css
66,assets/css/pages/pedidos/mobile-longterm-normalization.css
65,assets/css/components/navigation/header-desktop.css
64,assets/css/components/shell/desktop-base-stability.css
62,assets/css/pages/home/mobile-composition.css
59,assets/css/pages/internal-shell.css
59,assets/css/pages/home/overlays.css
59,assets/css/pages/home-overlays/location-address.css
57,assets/css/pages/home/mobile/featured.css
56,assets/css/pages/home-refresh/mobile-cards.css
56,assets/css/components/search/search-filter-contract.css
54,assets/css/pages/search-results/structure-contract-v2.css
54,assets/css/pages/search-results/responsive-pass.css
53,assets/css/core/layout/responsive-base.css
51,assets/css/components/navigation/mobile-page-rhythm-contract.css
50,assets/css/components/navigation/search-bar.css
49,assets/css/core/responsive-audit.css
49,assets/css/core/layout/shell.css
49,assets/css/components/navigation/app-mobile-topbar.css
47,assets/css/pages/comunidade-interna/visual.css
47,assets/css/core/layout/topbar.css
47,assets/css/components/cards/service-card.css
45,assets/css/components/cards/mobile-card-contract.css
44,assets/css/pages/home-ux-popovers.css
43,assets/css/pages/comunidade-interna/fullscreen-shell.css
43,assets/css/components/ui-surface/modal-alignment.css
42,assets/css/pages/home/mobile-alignment.css
40,assets/css/pages/search-results/final-parity.css
40,assets/css/pages/search-results/desktop-envelope.css
39,assets/css/pages/internal-list-pages.css
39,assets/css/core/layout/responsive-shell.css
38,assets/css/pages/home/mobile-layout.css
38,assets/css/components/overlays/mobile-action-surface-contract.css
38,assets/css/components/navigation/home-mobile-drawer.css
37,assets/css/pages/home/sections.css
37,assets/css/components/navigation/app-header.css
36,assets/css/pages/home/hero.css
34,assets/css/pages/search-results/layout-density-contract.css
34,assets/css/components/navigation/bottom-nav.css
33,assets/css/pages/home-refresh/overlays-feedback.css
31,assets/css/pages/search-results/results-density-preview-contract.css
31,assets/css/pages/search-results/compact-services.css
31,assets/css/pages/configuracoes/mobile-menu-flow.css
30,assets/css/patterns/home-results-card.css
30,assets/css/pages/configuracoes/shell-sync.css
29,assets/css/pages/notificacoes/mobile-header-alignment.css
29,assets/css/pages/configuracoes/base-shell-topbar.css
29,assets/css/pages/comunidade-interna/full-bleed.css
28,assets/css/patterns/mobile-app-shell.css
28,assets/css/pages/comunidade/mobile-rescue.css
28,assets/css/pages/comunidade-interna/mobile-rescue.css
26,assets/css/pages/search-results/preview-parity.css
26,assets/css/components/cards/recommendation-card.css
25,assets/css/pages/search-results/final-normalization.css
24,assets/css/pages/mensagens/final-standardization.css
24,assets/css/pages/carteira.css
23,assets/css/pages/results/results-grid-polish.css
