file,line,card,selector,property,value,reason,cssProvavelResponsavel
assets/css/pages/carteira.css,1579,.video-card,":is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play)",width,"var(--doke-mobile-action-size, 44px) !important",shared-card-anatomy,"assets/css/pages/carteira.css :: :is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play) { width: ... }"
assets/css/pages/carteira.css,1579,.service-card,":is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play)",width,"var(--doke-mobile-action-size, 44px) !important",shared-card-anatomy,"assets/css/pages/carteira.css :: :is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play) { width: ... }"
assets/css/pages/carteira.css,1579,.video-card,":is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play)",height,"var(--doke-mobile-action-size, 44px) !important",media-height,"assets/css/pages/carteira.css :: :is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play) { height: ... }"
assets/css/pages/carteira.css,1579,.service-card,":is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play)",height,"var(--doke-mobile-action-size, 44px) !important",media-height,"assets/css/pages/carteira.css :: :is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play) { height: ... }"
assets/css/pages/carteira.css,1579,.video-card,":is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play)",min-width,"var(--doke-mobile-action-size, 44px) !important",shared-card-anatomy,"assets/css/pages/carteira.css :: :is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play) { min-width: ... }"
assets/css/pages/carteira.css,1579,.service-card,":is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play)",min-width,"var(--doke-mobile-action-size, 44px) !important",shared-card-anatomy,"assets/css/pages/carteira.css :: :is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play) { min-width: ... }"
assets/css/pages/carteira.css,1579,.video-card,":is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play)",min-height,"var(--doke-mobile-action-size, 44px) !important",shared-card-anatomy,"assets/css/pages/carteira.css :: :is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play) { min-height: ... }"
assets/css/pages/carteira.css,1579,.service-card,":is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play)",min-height,"var(--doke-mobile-action-size, 44px) !important",shared-card-anatomy,"assets/css/pages/carteira.css :: :is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play) { min-height: ... }"
assets/css/pages/carteira.css,1579,.video-card,":is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play)",border-radius,var(--radius-pill) !important,card-radius,"assets/css/pages/carteira.css :: :is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play) { border-radius: ... }"
assets/css/pages/carteira.css,1579,.service-card,":is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play)",border-radius,var(--radius-pill) !important,card-radius,"assets/css/pages/carteira.css :: :is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play) { border-radius: ... }"
assets/css/pages/carteira.css,1579,.video-card,":is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play)",padding,0 !important,internal-padding,"assets/css/pages/carteira.css :: :is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play) { padding: ... }"
assets/css/pages/carteira.css,1579,.service-card,":is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play)",padding,0 !important,internal-padding,"assets/css/pages/carteira.css :: :is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play) { padding: ... }"
assets/css/pages/comunidade/mobile-interaction-contract.css,3,.video-card,":is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play)",width,"var(--doke-mobile-action-size, 44px) !important",shared-card-anatomy,"assets/css/pages/comunidade/mobile-interaction-contract.css :: :is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play) { width: ... }"
assets/css/pages/comunidade/mobile-interaction-contract.css,3,.service-card,":is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play)",width,"var(--doke-mobile-action-size, 44px) !important",shared-card-anatomy,"assets/css/pages/comunidade/mobile-interaction-contract.css :: :is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play) { width: ... }"
assets/css/pages/comunidade/mobile-interaction-contract.css,3,.video-card,":is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play)",height,"var(--doke-mobile-action-size, 44px) !important",media-height,"assets/css/pages/comunidade/mobile-interaction-contract.css :: :is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play) { height: ... }"
assets/css/pages/comunidade/mobile-interaction-contract.css,3,.service-card,":is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play)",height,"var(--doke-mobile-action-size, 44px) !important",media-height,"assets/css/pages/comunidade/mobile-interaction-contract.css :: :is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play) { height: ... }"
assets/css/pages/comunidade/mobile-interaction-contract.css,3,.video-card,":is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play)",min-width,"var(--doke-mobile-action-size, 44px) !important",shared-card-anatomy,"assets/css/pages/comunidade/mobile-interaction-contract.css :: :is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play) { min-width: ... }"
assets/css/pages/comunidade/mobile-interaction-contract.css,3,.service-card,":is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play)",min-width,"var(--doke-mobile-action-size, 44px) !important",shared-card-anatomy,"assets/css/pages/comunidade/mobile-interaction-contract.css :: :is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play) { min-width: ... }"
assets/css/pages/comunidade/mobile-interaction-contract.css,3,.video-card,":is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play)",min-height,"var(--doke-mobile-action-size, 44px) !important",shared-card-anatomy,"assets/css/pages/comunidade/mobile-interaction-contract.css :: :is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play) { min-height: ... }"
assets/css/pages/comunidade/mobile-interaction-contract.css,3,.service-card,":is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play)",min-height,"var(--doke-mobile-action-size, 44px) !important",shared-card-anatomy,"assets/css/pages/comunidade/mobile-interaction-contract.css :: :is(.worker-preview__close, .worker-preview__close--fixed, .before-after-preview__close, .before-after-preview__close--fixed, .doke-media-lightbox__close, .wallet-modal__close, .address-modal__close, .results-filters__close, .service-card__favorite, .favorite-button, .heart-button, .video-card__play) { min-height: ... }"
