classe,definicoes_antes,definicoes_depois,delta_definicoes,conflitos_antes,conflitos_depois,delta_conflitos,canonico
.app-header,3612,3612,0,49,49,0,assets/css/components/shell/app-header-canonical-contract.css
.app-header__inner,500,500,0,15,15,0,assets/css/components/shell/app-header-canonical-contract.css
.home-side-meta__profile,993,993,0,24,24,0,assets/css/components/shell/app-header-canonical-contract.css
.home-side-meta__location,510,510,0,24,24,0,assets/css/components/shell/app-header-canonical-contract.css
.publication-card,1242,1242,0,33,33,0,assets/css/components/cards/publication-card.css + assets/css/components/cards/marketplace-card-contract.css
.doke-ad-card,1718,1718,0,42,42,0,assets/css/components/cards/ad-card.css + assets/css/components/cards/marketplace-card-contract.css
.video-card,1804,1804,0,32,32,0,assets/css/components/cards/worker-card.css + assets/css/components/cards/marketplace-card-contract.css
.service-card,3112,3112,0,40,40,0,assets/css/components/cards/service-card.css + assets/css/components/cards/marketplace-card-contract.css
.doke-reviews-panel,45,45,0,8,8,0,assets/css/components/cards/review-card.css ou assets/css/patterns/reviews-section.css se for composição de seção
.page__content-inner,1340,1336,-4,22,22,0,assets/css/components/shell/shared-page-width-contract.css
.shell-home__workspace,802,798,-4,21,21,0,assets/css/components/shell/shared-page-width-contract.css
.ad-detail-shell,217,217,0,8,8,0,assets/css/components/shell/shared-page-width-contract.css
.profile-shell-content,397,397,0,15,15,0,assets/css/components/shell/shared-page-width-contract.css
