page,breakpoint,component,property,before,after,expected,note
detalhe-anuncio.html,1280x800,detail section h2,font-size,25.6px,16.384px,igual escala compacta do index,corrige títulos enormes no detalhe
detalhe-anuncio.html,1280x800,detail section h2,line box height,56.28,35.38,escala compacta; pode quebrar em 2 linhas pelo texto,
detalhe-anuncio.html,1280x800,similar ads rail,grid-template-columns,260.609px 260.609px,260.609px 260.609px,2 colunas no detalhe,2 cards por linha para não espremer
detalhe-anuncio.html,1280x800,similar ad card,width,273.33,260.61,coluna 2-up do detalhe,
detalhe-anuncio.html,1280x800,similar ad card,height,583.52,376,altura compacta compartilhada,
detalhe-anuncio.html,1280x800,similar ad media,height,153.59,132,mídia compacta compartilhada,
detalhe-anuncio.html,1280x800,body/page,horizontal overflow,0,0,0,
detalhe-anuncio.html,608x926,detail section h2,font-size,21.888px,15.2px,igual escala compacta do index,corrige títulos enormes no detalhe
detalhe-anuncio.html,608x926,detail section h2,line box height,49.03,34.03,escala compacta; pode quebrar em 2 linhas pelo texto,
detalhe-anuncio.html,608x926,similar ads rail,grid-template-columns,none,279px 279px,2 colunas no detalhe,2 cards por linha para não espremer
detalhe-anuncio.html,608x926,similar ad card,width,278,279,coluna 2-up do detalhe,
detalhe-anuncio.html,608x926,similar ad card,height,262.88,262.88,altura compacta compartilhada,
detalhe-anuncio.html,608x926,similar ad media,height,104,104,mídia compacta compartilhada,
detalhe-anuncio.html,608x926,body/page,horizontal overflow,0,0,0,
detalhe-anuncio.html,810x1080,detail section h2,font-size,13px,15.2px,igual escala compacta do index,corrige títulos enormes no detalhe
detalhe-anuncio.html,810x1080,detail section h2,line box height,29.88,34.03,escala compacta; pode quebrar em 2 linhas pelo texto,
detalhe-anuncio.html,810x1080,similar ads rail,grid-template-columns,148.453px 148.453px 148.453px,231.688px 231.688px,2 colunas no detalhe,2 cards por linha para não espremer
detalhe-anuncio.html,810x1080,similar ad card,width,148.45,231.69,coluna 2-up do detalhe,
detalhe-anuncio.html,810x1080,similar ad card,height,266,266,altura compacta compartilhada,
detalhe-anuncio.html,810x1080,similar ad media,height,96,96,mídia compacta compartilhada,
detalhe-anuncio.html,810x1080,body/page,horizontal overflow,0,0,0,
index.html,1280x800,section heading,font-size,25.6px,16.384px,compact shared title scale,reduz título grande global do feed
index.html,1280x800,section heading,line box height,28.14,17.69,compact shared title scale,
index.html,608x926,section heading,font-size,16px,15.2px,compact shared title scale,reduz título grande global do feed
index.html,608x926,section heading,line box height,18.55,17.02,compact shared title scale,
index.html,810x1080,section heading,font-size,16px,15.2px,compact shared title scale,reduz título grande global do feed
index.html,810x1080,section heading,line box height,18.55,17.02,compact shared title scale,
