page,breakpoint,component,property,expected_index,before_detail,after_detail,status,css_changed
detalhe-anuncio.html,608x926,publication-card,width,272px,272px,272px,OK,assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,publication-card,height,308px,308px,308px,OK,assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,publication-card,border-radius,18px,16px,18px,Corrigido,assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,publication-card media,height,164px,164px,164px,OK,assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,publication-card media,width,272px,250px,270px,Corrigido para tolerância <=2px,assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,publication-card media,margin,0px,10px 10px 0px,0px,Corrigido,assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,publication-card,width,348.3px,348.3px,348.3px,OK,assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,publication-card,height,308px,308px,308px,OK,assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,publication-card,border-radius,22px,24px,22px,Corrigido,assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,publication-card media,height,164px,164px,164px,OK,assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,publication-card media,width,346.3px,326.3px,346.3px,Corrigido,assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,publication-card media,margin,0px,10px 10px 0px,0px,Corrigido,assets/css/components/layout/focused-index-parity-contract.css
