page,breakpoint,component,itemIndex,property,expected,beforeActual,afterActual,beforeDiff,afterDiff,status,probableCss
detalhe-anuncio.html,608x926,section-header/workers-relacionados,0,box.height,46,32,46,-14,0,fixed,assets/css/components/sections/section-header-canonical-contract.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,section-header/workers-relacionados,0,gap,18,10,18,-8,0,fixed,assets/css/components/sections/section-header-canonical-contract.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,section-header/publicacoes-anuncio,0,box.height,48,32,48,-16,0,fixed,assets/css/components/sections/section-header-canonical-contract.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,section-header/publicacoes-anuncio,0,gap,16,10,16,-6,0,fixed,assets/css/components/sections/section-header-canonical-contract.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,section-header/anuncios-semelhantes,0,box.height,46,32,46,-14,0,fixed,assets/css/components/sections/section-header-canonical-contract.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,section-header/anuncios-semelhantes,0,gap,18,10,18,-8,0,fixed,assets/css/components/sections/section-header-canonical-contract.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,doke-ad-card/similar,0,box.width,278,572,278,294,0,fixed,assets/css/components/cards/ad-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,doke-ad-card/similar,0,box.height,262.88,564.47,262.88,301.59,0,fixed,assets/css/components/cards/ad-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,doke-ad-card/similar,0,media.height,104,178,104,74,0,fixed,assets/css/components/cards/ad-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,doke-ad-card/similar,0,radius,24,16,24,-8,0,fixed,assets/css/components/cards/ad-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,doke-ad-card/similar,1,rel.x,292,586,292,294,0,fixed,assets/css/components/cards/ad-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,doke-ad-card/similar,1,box.width,278,572,278,294,0,fixed,assets/css/components/cards/ad-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,doke-ad-card/similar,1,box.height,262.88,570.47,262.88,307.59,0,fixed,assets/css/components/cards/ad-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,doke-ad-card/similar,1,media.height,104,178,104,74,0,fixed,assets/css/components/cards/ad-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,doke-ad-card/similar,1,radius,24,16,24,-8,0,fixed,assets/css/components/cards/ad-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,608x926,doke-ad-card/similar,2,rel.x,584,1172,584,588,0,fixed,assets/css/components/cards/ad-card.css; assets/css/components/layout/focused-index-parity-contract.css
