page,breakpoint,component,before_x,after_x,before_width,after_width,before_height,after_height,content_x_reference,after_delta_to_content_x,status
pedidos.html,608x926,header,0,0,608,608,86,86,18,-18,own-layout-or-pending
pedidos.html,608x926,inner,18,18,572,572,48,48,18,0,aligned
pedidos.html,608x926,actions,134,134,164,164,48,48,18,116,own-layout-or-pending
pedidos.html,608x926,content,18,18,572,572,2228,2228,18,0,not-applicable
mensagens.html,608x926,header,0,0,608,608,86,86,18,-18,own-layout-or-pending
mensagens.html,608x926,inner,18,18,572,572,48,48,18,0,aligned
mensagens.html,608x926,actions,134,134,48,48,48,48,18,116,own-layout-or-pending
mensagens.html,608x926,content,18,18,572,572,926,926,18,0,not-applicable
notificacoes.html,608x926,header,0,0,608,608,86,86,18,-18,own-layout-or-pending
notificacoes.html,608x926,inner,18,18,572,572,48,48,18,0,aligned
notificacoes.html,608x926,actions,134,134,164,164,48,48,18,116,own-layout-or-pending
notificacoes.html,608x926,content,18,18,572,572,1709.3,1709.3,18,0,not-applicable
comunidade.html,608x926,header,0,0,608,608,86,86,18,-18,own-layout-or-pending
comunidade.html,608x926,inner,18,18,572,572,48,48,18,0,aligned
comunidade.html,608x926,actions,134,134,106,106,48,48,18,116,own-layout-or-pending
comunidade.html,608x926,content,18,18,572,572,4397.1,4397.1,18,0,not-applicable
carteira.html,608x926,header,0,0,608,608,86,86,18,-18,own-layout-or-pending
carteira.html,608x926,inner,18,18,572,572,48,48,18,0,aligned
carteira.html,608x926,actions,134,134,164,164,48,48,18,116,own-layout-or-pending
carteira.html,608x926,content,18,18,572,572,2532.4,2532.4,18,0,not-applicable
perfil.html,608x926,header,0,0,608,608,86,86,18,-18,own-layout-or-pending
perfil.html,608x926,inner,18,18,572,572,48,48,18,0,aligned
perfil.html,608x926,actions,18,18,514,514,48,48,18,0,aligned
perfil.html,608x926,content,18,18,572,572,613,613,18,0,not-applicable
detalhe-anuncio.html,608x926,header,0,0,608,608,86,86,0,0,aligned
detalhe-anuncio.html,608x926,inner,18,18,572,572,48,48,0,18,own-layout-or-pending
detalhe-anuncio.html,608x926,actions,18,18,514,514,48,48,0,18,own-layout-or-pending
detalhe-anuncio.html,608x926,content,0,0,608,608,8065.8,8065.8,0,0,not-applicable
resultados.html,608x926,header,0,0,608,608,759.4,759.4,18,-18,own-layout-or-pending
resultados.html,608x926,inner,0,0,608,608,759.4,759.4,18,-18,own-layout-or-pending
resultados.html,608x926,content,18,18,572,572,1004.3,1004.3,18,0,not-applicable
index.html,608x926,header,0,0,608,608,86,86,18,-18,own-layout-or-pending
index.html,608x926,inner,18,18,572,572,48,48,18,0,aligned
index.html,608x926,actions,18,18,340,340,48,48,18,0,aligned
index.html,608x926,content,18,18,572,572,6111.4,6111.4,18,0,not-applicable
configuracoes.html,608x926,content,0,0,608,608,862,862,0,0,not-applicable
pedidos.html,810x1080,header,280,280,530,530,86,86,304.3,-24.3,own-layout-or-pending
