pagina,breakpoint,componente,propriedade,antes,depois,diferenca
index.html,608x926,header,padding,18px 0px 10px,20px 0px 14px,18px 0px 10px -> 20px 0px 14px
index.html,608x926,inner,y,18,20,2.0
index.html,608x926,tabletMenu,y,18,20,2.0
index.html,608x926,searchOrBack,y,18,20,2.0
index.html,608x926,location,y,18,20,2.0
index.html,608x926,location,width,171.13,170.23,-0.9
index.html,608x926,location,padding,0px 16px,0px 14px,0px 16px -> 0px 14px
index.html,608x926,profile,y,18,20,2.0
index.html,608x926,avatar,y,25,27,2.0
index.html,810x1080,header,padding,22px 0px 16px,24px 0px,22px 0px 16px -> 24px 0px
index.html,810x1080,inner,y,22,24,2.0
index.html,810x1080,inner,gap,14px,12px,14px -> 12px
index.html,810x1080,tabletMenu,padding,1px 6px,0px,1px 6px -> 0px
index.html,810x1080,tabletMenu,borderRadius,0px,16px,0px -> 16px
index.html,810x1080,tabletMenu,boxShadow,none,"rgba(15, 45, 75, 0.06) 0px 10px 26px 0px","none -> rgba(15, 45, 75, 0.06) 0px 10px 26px 0px"
index.html,810x1080,searchOrBack,y,22,24,2.0
index.html,810x1080,location,y,22,24,2.0
index.html,810x1080,location,width,185.23,185.22,-0.01
index.html,810x1080,location,gap,10px,8px,10px -> 8px
index.html,810x1080,location,padding,0px 18px,0px 14px,0px 18px -> 0px 14px
index.html,810x1080,profile,x,652.41,652.42,0.01
index.html,810x1080,profile,y,22,24,2.0
index.html,810x1080,profile,width,133.28,133.27,-0.01
index.html,810x1080,avatar,x,660.41,661.42,1.01
index.html,810x1080,avatar,y,28,30,2.0
index.html,810x1080,identity,x,706.41,707.42,1.01
index.html,810x1080,identity,y,32.06,33.86,1.8
index.html,810x1080,identity,width,65.28,64.27,-1.01
index.html,810x1080,identity,height,27.86,28.28,0.42
index.html,1024x768,header,padding,22.528px 0px 16px,24px 0px,22.528px 0px 16px -> 24px 0px
index.html,1024x768,inner,y,22.52,24,1.48
index.html,1024x768,inner,gap,14px,12px,14px -> 12px
index.html,1024x768,tabletMenu,padding,1px 6px,0px,1px 6px -> 0px
index.html,1024x768,tabletMenu,borderRadius,0px,16px,0px -> 16px
index.html,1024x768,tabletMenu,boxShadow,none,"rgba(15, 45, 75, 0.06) 0px 10px 26px 0px","none -> rgba(15, 45, 75, 0.06) 0px 10px 26px 0px"
index.html,1024x768,searchOrBack,y,22.52,24,1.48
index.html,1024x768,location,y,22.52,24,1.48
index.html,1024x768,location,width,185.23,185.22,-0.01
index.html,1024x768,location,gap,10px,8px,10px -> 8px
index.html,1024x768,location,padding,0px 18px,0px 14px,0px 18px -> 0px 14px
index.html,1024x768,profile,x,859.98,860,0.02
index.html,1024x768,profile,y,22.52,24,1.48
index.html,1024x768,profile,width,133.28,133.27,-0.01
index.html,1024x768,avatar,x,867.98,869,1.02
index.html,1024x768,avatar,y,28.52,30,1.48
index.html,1024x768,identity,x,913.98,915,1.02
index.html,1024x768,identity,y,32.58,33.86,1.28
index.html,1024x768,identity,width,65.28,64.27,-1.01
index.html,1024x768,identity,height,27.86,28.28,0.42
index.html,1280x800,header,padding,28.16px 38.4px 19.2px,24px 38.4px,28.16px 38.4px 19.2px -> 24px 38.4px
index.html,1280x800,inner,y,28.16,24,-4.16
index.html,1280x800,inner,gap,14px,12px,14px -> 12px
index.html,1280x800,tabletMenu,padding,1px 6px,0px,1px 6px -> 0px
index.html,1280x800,tabletMenu,borderRadius,0px,16px,0px -> 16px
index.html,1280x800,tabletMenu,boxShadow,none,"rgba(15, 45, 75, 0.06) 0px 10px 26px 0px","none -> rgba(15, 45, 75, 0.06) 0px 10px 26px 0px"
index.html,1280x800,searchOrBack,y,28.16,24,-4.16
index.html,1280x800,location,y,28.16,24,-4.16
index.html,1280x800,location,width,185.23,185.22,-0.01
index.html,1280x800,location,gap,10px,8px,10px -> 8px
index.html,1280x800,location,padding,0px 18px,0px 14px,0px 18px -> 0px 14px
index.html,1280x800,profile,x,1060.33,1060.34,0.01
index.html,1280x800,profile,y,28.16,24,-4.16
index.html,1280x800,profile,width,133.28,133.27,-0.01
index.html,1280x800,avatar,x,1068.33,1069.34,1.01
index.html,1280x800,avatar,y,34.16,30,-4.16
index.html,1280x800,identity,x,1114.33,1115.34,1.01
index.html,1280x800,identity,y,38.22,33.86,-4.36
index.html,1280x800,identity,width,65.28,64.27,-1.01
index.html,1280x800,identity,height,27.86,28.28,0.42
detalhe-anuncio.html,810x1080,header,x,0,280,280.0
detalhe-anuncio.html,810x1080,header,width,810,530,-280.0
detalhe-anuncio.html,810x1080,inner,x,24,304,280.0
