page,breakpoint,component,selector,property,expected,before,after,beforeDiff,afterDiff,status,probableCss
resultados.html,390x844,doke-ad-card,.results-grid > .doke-ad-card,box.width,319.8,354,319.8,34.2,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,doke-ad-card,.results-grid > .doke-ad-card,box.height,262.88,637.47,262.88,374.59,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,doke-ad-card,.results-grid > .doke-ad-card,media.height,104,148,104,44,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,doke-ad-card,.results-grid > .doke-ad-card,radius,16,26,16,10,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,doke-ad-card,.results-grid > .doke-ad-card,overflow.selfX,0,164,0,164,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,doke-ad-card,.results-grid > .doke-ad-card,box.width,319.8,354,319.8,34.2,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,doke-ad-card,.results-grid > .doke-ad-card,box.height,262.88,637.47,262.88,374.59,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,doke-ad-card,.results-grid > .doke-ad-card,media.height,104,148,104,44,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,doke-ad-card,.results-grid > .doke-ad-card,radius,16,26,16,10,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,doke-ad-card,.results-grid > .doke-ad-card,overflow.selfX,0,164,0,164,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,doke-ad-card,.results-grid > .doke-ad-card,box.width,319.8,354,319.8,34.2,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,doke-ad-card,.results-grid > .doke-ad-card,box.height,262.88,637.47,262.88,374.59,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,doke-ad-card,.results-grid > .doke-ad-card,media.height,104,148,104,44,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,doke-ad-card,.results-grid > .doke-ad-card,radius,16,26,16,10,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,doke-ad-card,.results-grid > .doke-ad-card,overflow.selfX,0,164,0,164,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,publication-card,.results-before-after-grid > .publication-card,box.width,362,354,319.8,-8,-42.2,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,publication-card,.results-before-after-grid > .publication-card,box.height,283.3,1321.55,283.3,1038.25,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,publication-card,.results-before-after-grid > .publication-card,radius,18,24,18,6,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,publication-card,.results-before-after-grid > .publication-card,overflow.selfX,0,24,24,24,24,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,publication-card,.results-before-after-grid > .publication-card,box.width,362,354,319.8,-8,-42.2,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,publication-card,.results-before-after-grid > .publication-card,box.height,283.3,1321.55,283.3,1038.25,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,publication-card,.results-before-after-grid > .publication-card,radius,18,24,18,6,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,publication-card,.results-before-after-grid > .publication-card,overflow.selfX,0,24,24,24,24,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,publication-card,.results-before-after-grid > .publication-card,box.width,362,354,319.8,-8,-42.2,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,publication-card,.results-before-after-grid > .publication-card,box.height,283.3,1321.55,283.3,1038.25,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,publication-card,.results-before-after-grid > .publication-card,radius,18,24,18,6,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,publication-card,.results-before-after-grid > .publication-card,overflow.selfX,0,24,24,24,24,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,worker/video-card,.results-videos-grid > .video-card,radius,16,24,16,8,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,worker/video-card,.results-videos-grid > .video-card,radius,16,24,16,8,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,worker/video-card,.results-videos-grid > .video-card,radius,16,24,16,8,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,filter-pills,".search-scope__option span, .search-scope__filter-toggle",box.height,21.31,17,15,-4.31,-23,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,filter-pills,".search-scope__option span, .search-scope__filter-toggle",padding.left,6,0,6,-6,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,filter-pills,".search-scope__option span, .search-scope__filter-toggle",padding.right,6,0,6,-6,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,filter-pills,".search-scope__option span, .search-scope__filter-toggle",fontSize,13.33,16,13.33,2.67,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
