page,breakpoint,type,selector,property,expected,actual,difference,width,height,detail,probableCss
"index.html","390x844","text-or-content-clipping","form.home-search-hero__form.home-search-hero__form--restored.doke-search-pill","scrollHeight","<= 60","146","88","332","58","texto/conteúdo cortado sem clamp/ellipsis controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card.doke-ad-card--featured","scrollWidth","<= 108","113","7","108","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 108","113","7","106","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__footer","scrollWidth","<= 76","97","23","74","42","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","a.doke-ad-card__cta","scrollWidth","<= 22","43","23","20","34","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card.doke-ad-card--featured","scrollWidth","<= 108","110","4","108","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 108","110","4","106","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__footer","scrollWidth","<= 76","94","20","74","42","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","a.doke-ad-card__cta","scrollWidth","<= 27","45","20","25.13","34","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card.doke-ad-card--featured","scrollWidth","<= 108","113","7","108","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 108","113","7","106","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__footer","scrollWidth","<= 76","97","23","74","42","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","a.doke-ad-card__cta","scrollWidth","<= 22","43","23","20","34","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.publication-card.publication-card--photo.doke-card","scrollWidth","<= 354","372","20","354","330","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.publication-card.publication-card--video.doke-card","scrollWidth","<= 354","372","20","354","330","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.publication-card.publication-card--before-after.doke-card","scrollWidth","<= 354","372","20","354","330","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 17","107","92","16.66","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__media.doke-ad-card__media--handyman","scrollWidth","<= 17","44","29","14.66","148","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","badge-or-action-clipped","span.doke-ad-card__badge","bounds","dentro do card","vazamento 28.34px","28.34","26","32","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","badge-or-action-clipped","button.doke-ad-card__favorite","bounds","dentro do card","vazamento 46.34px","46.34","46","46","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 34","107","75","32","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","a.doke-ad-card__cta","scrollWidth","<= 22","43","23","20","34","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 17","106","91","16.66","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__media.doke-ad-card__media--tech","scrollWidth","<= 17","44","29","14.66","148","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","badge-or-action-clipped","span.doke-ad-card__badge","bounds","dentro do card","vazamento 28.34px","28.34","26","32","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","badge-or-action-clipped","button.doke-ad-card__favorite","bounds","dentro do card","vazamento 46.34px","46.34","46","46","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 34","106","74","32","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","a.doke-ad-card__cta","scrollWidth","<= 22","43","23","20","34","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 17","121","106","16.66","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__media.doke-ad-card__media--class","scrollWidth","<= 17","44","29","14.66","148","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","badge-or-action-clipped","span.doke-ad-card__badge","bounds","dentro do card","vazamento 28.34px","28.34","26","32","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","badge-or-action-clipped","button.doke-ad-card__favorite","bounds","dentro do card","vazamento 46.34px","46.34","46","46","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 34","121","89","32","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","a.doke-ad-card__cta","scrollWidth","<= 22","43","23","20","34","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 17","106","91","16.66","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__media.doke-ad-card__media--beauty","scrollWidth","<= 17","44","29","14.66","148","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","badge-or-action-clipped","span.doke-ad-card__badge","bounds","dentro do card","vazamento 28.34px","28.34","26","32","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","badge-or-action-clipped","button.doke-ad-card__favorite","bounds","dentro do card","vazamento 46.34px","46.34","46","46","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 34","106","74","32","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","a.doke-ad-card__cta","scrollWidth","<= 22","43","23","20","34","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 17","107","92","16.67","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__media.doke-ad-card__media--gardening","scrollWidth","<= 17","44","29","14.67","148","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","badge-or-action-clipped","span.doke-ad-card__badge","bounds","dentro do card","vazamento 28.33px","28.33","26","32","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","badge-or-action-clipped","button.doke-ad-card__favorite","bounds","dentro do card","vazamento 46.33px","46.33","46","46","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 34","107","75","32","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","a.doke-ad-card__cta","scrollWidth","<= 22","43","23","20","34","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 17","110","95","16.67","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__media.doke-ad-card__media--plumber","scrollWidth","<= 17","44","29","14.67","148","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","badge-or-action-clipped","span.doke-ad-card__badge","bounds","dentro do card","vazamento 28.33px","28.33","26","32","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","badge-or-action-clipped","button.doke-ad-card__favorite","bounds","dentro do card","vazamento 46.33px","46.33","46","46","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 34","110","78","32","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","a.doke-ad-card__cta","scrollWidth","<= 22","43","23","20","34","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 17","115","100","16.67","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__media.doke-ad-card__media--photo","scrollWidth","<= 17","44","29","14.67","148","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","badge-or-action-clipped","span.doke-ad-card__badge","bounds","dentro do card","vazamento 28.33px","28.33","26","32","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","badge-or-action-clipped","button.doke-ad-card__favorite","bounds","dentro do card","vazamento 46.33px","46.33","46","46","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 34","115","83","32","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","a.doke-ad-card__cta","scrollWidth","<= 22","43","23","20","34","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 17","107","92","16.67","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__media.doke-ad-card__media--pet","scrollWidth","<= 17","44","29","14.67","148","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","badge-or-action-clipped","span.doke-ad-card__badge","bounds","dentro do card","vazamento 28.33px","28.33","26","32","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","badge-or-action-clipped","button.doke-ad-card__favorite","bounds","dentro do card","vazamento 46.33px","46.33","46","46","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 34","107","75","32","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","a.doke-ad-card__cta","scrollWidth","<= 22","43","23","20","34","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 17","113","98","16.67","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__media.doke-ad-card__media--ac","scrollWidth","<= 17","44","29","14.67","148","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","badge-or-action-clipped","span.doke-ad-card__badge","bounds","dentro do card","vazamento 28.33px","28.33","26","32","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","badge-or-action-clipped","button.doke-ad-card__favorite","bounds","dentro do card","vazamento 46.33px","46.33","46","46","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 34","113","81","32","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","a.doke-ad-card__cta","scrollWidth","<= 22","43","23","20","34","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 17","166","151","16.67","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__media.doke-ad-card__media--carpentry","scrollWidth","<= 17","44","29","14.67","148","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","badge-or-action-clipped","span.doke-ad-card__badge","bounds","dentro do card","vazamento 28.33px","28.33","26","32","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","badge-or-action-clipped","button.doke-ad-card__favorite","bounds","dentro do card","vazamento 46.33px","46.33","46","46","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 34","166","134","32","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","a.doke-ad-card__cta","scrollWidth","<= 22","43","23","20","34","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 17","115","100","16.67","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__media.doke-ad-card__media--deep-cleaning","scrollWidth","<= 17","44","29","14.67","148","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","badge-or-action-clipped","span.doke-ad-card__badge","bounds","dentro do card","vazamento 28.33px","28.33","26","32","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","badge-or-action-clipped","button.doke-ad-card__favorite","bounds","dentro do card","vazamento 46.33px","46.33","46","46","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 34","115","83","32","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","a.doke-ad-card__cta","scrollWidth","<= 22","43","23","20","34","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 17","107","92","16.67","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__media.doke-ad-card__media--delivery","scrollWidth","<= 17","44","29","14.67","148","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","badge-or-action-clipped","span.doke-ad-card__badge","bounds","dentro do card","vazamento 28.33px","28.33","26","32","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","badge-or-action-clipped","button.doke-ad-card__favorite","bounds","dentro do card","vazamento 46.33px","46.33","46","46","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 34","107","75","32","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","a.doke-ad-card__cta","scrollWidth","<= 22","43","23","20","34","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","card-content-leak","div.publication-card__media.publication-card__media--kitchen","bounds","filho dentro do card","vazamento 9px","9","352","164","filho direto vaza do card article.publication-card.publication-card--photo.doke-card","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","card-content-leak","div.publication-card__media.publication-card__media--living","bounds","filho dentro do card","vazamento 9px","9","352","164","filho direto vaza do card article.publication-card.publication-card--video.doke-card","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","card-content-leak","div.publication-card__media.publication-card__comparison","bounds","filho dentro do card","vazamento 9px","9","352","164","filho direto vaza do card article.publication-card.publication-card--before-after.doke-card","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","card-content-leak","div.doke-ad-card__body","bounds","filho dentro do card","vazamento 16.34px","16.34","32","170.08","filho direto vaza do card article.doke-ad-card","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","card-content-leak","div.doke-ad-card__body","bounds","filho dentro do card","vazamento 16.34px","16.34","32","170.08","filho direto vaza do card article.doke-ad-card","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","card-content-leak","div.doke-ad-card__body","bounds","filho dentro do card","vazamento 16.34px","16.34","32","170.08","filho direto vaza do card article.doke-ad-card","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","card-content-leak","div.doke-ad-card__body","bounds","filho dentro do card","vazamento 16.34px","16.34","32","170.08","filho direto vaza do card article.doke-ad-card","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","card-content-leak","div.doke-ad-card__body","bounds","filho dentro do card","vazamento 16.33px","16.33","32","170.08","filho direto vaza do card article.doke-ad-card","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","card-content-leak","div.doke-ad-card__body","bounds","filho dentro do card","vazamento 16.33px","16.33","32","170.08","filho direto vaza do card article.doke-ad-card","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","card-content-leak","div.doke-ad-card__body","bounds","filho dentro do card","vazamento 16.33px","16.33","32","170.08","filho direto vaza do card article.doke-ad-card","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","card-content-leak","div.doke-ad-card__body","bounds","filho dentro do card","vazamento 16.33px","16.33","32","170.08","filho direto vaza do card article.doke-ad-card","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","card-content-leak","div.doke-ad-card__body","bounds","filho dentro do card","vazamento 16.33px","16.33","32","170.08","filho direto vaza do card article.doke-ad-card","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","card-content-leak","div.doke-ad-card__body","bounds","filho dentro do card","vazamento 16.33px","16.33","32","170.08","filho direto vaza do card article.doke-ad-card","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","card-content-leak","div.doke-ad-card__body","bounds","filho dentro do card","vazamento 16.33px","16.33","32","170.08","filho direto vaza do card article.doke-ad-card","assets/css/pages/detalhe-anuncio.css"
"index.html","390x844","card-content-leak","div.doke-ad-card__body","bounds","filho dentro do card","vazamento 16.33px","16.33","32","170.08","filho direto vaza do card article.doke-ad-card","assets/css/pages/detalhe-anuncio.css"
"detalhe-anuncio.html","390x844","element-horizontal-overflow","div.detail-related-grid.detail-related-grid--ads.service-grid.service-grid--compact","scrollWidth","<= 356","544","190","354","387.89","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"detalhe-anuncio.html","390x844","text-or-content-clipping","div.doke-ad-card__tags","scrollHeight","<= 30","50","22","130","28","texto/conteúdo cortado sem clamp/ellipsis controlado","não identificado"
"detalhe-anuncio.html","390x844","text-or-content-clipping","div.doke-ad-card__tags","scrollHeight","<= 30","50","22","130","28","texto/conteúdo cortado sem clamp/ellipsis controlado","não identificado"
"detalhe-anuncio.html","390x844","text-or-content-clipping","div.doke-ad-card__tags","scrollHeight","<= 30","50","22","130","28","texto/conteúdo cortado sem clamp/ellipsis controlado","não identificado"
"index.html","608x926","body-horizontal-overflow","html.","scrollWidth","<= 610","626","18","608","6663.23","body/page gera scroll horizontal","não identificado"
"index.html","608x926","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 10","107","99","10.41","350.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","608x926","element-horizontal-overflow","div.doke-ad-card__media.doke-ad-card__media--handyman","scrollWidth","<= 10","44","36","8.41","178","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","608x926","badge-or-action-clipped","span.doke-ad-card__badge","bounds","dentro do card","vazamento 34.59px","34.59","26","32","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","608x926","badge-or-action-clipped","button.doke-ad-card__favorite","bounds","dentro do card","vazamento 52.59px","52.59","46","46","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
"index.html","608x926","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 34","107","75","32","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","608x926","element-horizontal-overflow","a.doke-ad-card__cta","scrollWidth","<= 22","43","23","20","34","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","608x926","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 10","106","98","10.41","350.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","608x926","element-horizontal-overflow","div.doke-ad-card__media.doke-ad-card__media--tech","scrollWidth","<= 10","44","36","8.41","178","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","608x926","badge-or-action-clipped","span.doke-ad-card__badge","bounds","dentro do card","vazamento 34.59px","34.59","26","32","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css"
