page,breakpoint,type,selector,property,expected,actual,difference,width,height,detail,probableCss
"index.html","390x844","text-or-content-clipping","form.home-search-hero__form.home-search-hero__form--restored.doke-search-pill","scrollHeight","<= 60","146","88","332","58","texto/conteúdo cortado sem clamp/ellipsis controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","strong.","scrollWidth","<= 12","20","10","10.44","11.84","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","strong.doke-ad-card__price","scrollWidth","<= 28","42","16","26.48","14.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","strong.","scrollWidth","<= 13","20","9","10.78","11.84","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","strong.doke-ad-card__price","scrollWidth","<= 28","37","11","26.48","14.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","strong.","scrollWidth","<= 13","20","9","10.95","11.84","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","strong.doke-ad-card__price","scrollWidth","<= 28","42","16","26.48","14.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.publication-card.publication-card--photo.doke-card","scrollWidth","<= 354","372","20","354","330","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.publication-card.publication-card--video.doke-card","scrollWidth","<= 354","372","20","354","330","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.publication-card.publication-card--before-after.doke-card","scrollWidth","<= 354","372","20","354","330","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 17","53","38","16.66","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__media.doke-ad-card__media--handyman","scrollWidth","<= 17","44","29","14.66","148","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","badge-or-action-clipped","span.doke-ad-card__badge","bounds","dentro do card","vazamento 28.34px","28.34","26","32","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css; assets/css/components/layout/overflow-text-clipping-contract.css"
"index.html","390x844","badge-or-action-clipped","button.doke-ad-card__favorite","bounds","dentro do card","vazamento 46.34px","46.34","46","46","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css; assets/css/components/layout/overflow-text-clipping-contract.css"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 34","53","21","32","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 17","52","37","16.66","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__media.doke-ad-card__media--tech","scrollWidth","<= 17","44","29","14.66","148","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","badge-or-action-clipped","span.doke-ad-card__badge","bounds","dentro do card","vazamento 28.34px","28.34","26","32","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css; assets/css/components/layout/overflow-text-clipping-contract.css"
"index.html","390x844","badge-or-action-clipped","button.doke-ad-card__favorite","bounds","dentro do card","vazamento 46.34px","46.34","46","46","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css; assets/css/components/layout/overflow-text-clipping-contract.css"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 34","52","20","32","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 17","66","51","16.66","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__media.doke-ad-card__media--class","scrollWidth","<= 17","44","29","14.66","148","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","badge-or-action-clipped","span.doke-ad-card__badge","bounds","dentro do card","vazamento 28.34px","28.34","26","32","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css; assets/css/components/layout/overflow-text-clipping-contract.css"
"index.html","390x844","badge-or-action-clipped","button.doke-ad-card__favorite","bounds","dentro do card","vazamento 46.34px","46.34","46","46","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css; assets/css/components/layout/overflow-text-clipping-contract.css"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 34","66","34","32","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 17","52","37","16.66","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__media.doke-ad-card__media--beauty","scrollWidth","<= 17","44","29","14.66","148","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","badge-or-action-clipped","span.doke-ad-card__badge","bounds","dentro do card","vazamento 28.34px","28.34","26","32","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css; assets/css/components/layout/overflow-text-clipping-contract.css"
"index.html","390x844","badge-or-action-clipped","button.doke-ad-card__favorite","bounds","dentro do card","vazamento 46.34px","46.34","46","46","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css; assets/css/components/layout/overflow-text-clipping-contract.css"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 34","52","20","32","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 17","52","37","16.67","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__media.doke-ad-card__media--gardening","scrollWidth","<= 17","44","29","14.67","148","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","badge-or-action-clipped","span.doke-ad-card__badge","bounds","dentro do card","vazamento 28.33px","28.33","26","32","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css; assets/css/components/layout/overflow-text-clipping-contract.css"
"index.html","390x844","badge-or-action-clipped","button.doke-ad-card__favorite","bounds","dentro do card","vazamento 46.33px","46.33","46","46","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css; assets/css/components/layout/overflow-text-clipping-contract.css"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 34","52","20","32","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 17","55","40","16.67","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__media.doke-ad-card__media--plumber","scrollWidth","<= 17","44","29","14.67","148","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","badge-or-action-clipped","span.doke-ad-card__badge","bounds","dentro do card","vazamento 28.33px","28.33","26","32","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css; assets/css/components/layout/overflow-text-clipping-contract.css"
"index.html","390x844","badge-or-action-clipped","button.doke-ad-card__favorite","bounds","dentro do card","vazamento 46.33px","46.33","46","46","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css; assets/css/components/layout/overflow-text-clipping-contract.css"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 34","55","23","32","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 17","61","46","16.67","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__media.doke-ad-card__media--photo","scrollWidth","<= 17","44","29","14.67","148","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","badge-or-action-clipped","span.doke-ad-card__badge","bounds","dentro do card","vazamento 28.33px","28.33","26","32","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css; assets/css/components/layout/overflow-text-clipping-contract.css"
"index.html","390x844","badge-or-action-clipped","button.doke-ad-card__favorite","bounds","dentro do card","vazamento 46.33px","46.33","46","46","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css; assets/css/components/layout/overflow-text-clipping-contract.css"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 34","61","29","32","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 17","52","37","16.67","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__media.doke-ad-card__media--pet","scrollWidth","<= 17","44","29","14.67","148","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","badge-or-action-clipped","span.doke-ad-card__badge","bounds","dentro do card","vazamento 28.33px","28.33","26","32","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css; assets/css/components/layout/overflow-text-clipping-contract.css"
"index.html","390x844","badge-or-action-clipped","button.doke-ad-card__favorite","bounds","dentro do card","vazamento 46.33px","46.33","46","46","badge/action vazando ou cortado","assets/css/pages/detalhe-anuncio.css; assets/css/components/layout/overflow-text-clipping-contract.css"
"index.html","390x844","element-horizontal-overflow","div.doke-ad-card__body","scrollWidth","<= 34","52","20","32","170.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
"index.html","390x844","element-horizontal-overflow","article.doke-ad-card","scrollWidth","<= 17","58","43","16.67","320.08","scrollWidth maior que clientWidth sem overflow controlado","não identificado"
