scope,item,before,after,delta
total,all,316,240,-76
type,badge-or-action-clipped,48,48,0
type,body-horizontal-overflow,1,1,0
type,button-label-wrap,65,40,-25
type,card-content-leak,27,27,0
type,element-horizontal-overflow,162,114,-48
type,text-or-content-clipping,13,10,-3
page,comunidade.html,13,11,-2
page,detalhe-anuncio.html,62,36,-26
page,index.html,190,157,-33
page,mensagens.html,12,9,-3
page,notificacoes.html,8,6,-2
page,pedidos.html,14,6,-8
page,perfil.html,15,13,-2
page,resultados.html,2,2,0
breakpoint,1024x768,31,21,-10
breakpoint,1280x800,37,25,-12
breakpoint,390x844,107,83,-24
breakpoint,608x926,88,76,-12
breakpoint,810x1080,53,35,-18
