página,breakpoint,componente,seletor,propriedade divergente,esperado,atual,diferença,CSS provável responsável
detalhe-anuncio.html,390x844,headers,.app-header.app-header--detail.home-side-meta,padding.top,0,20,20,assets/css/components/shell/desktop-topbar.css :: .home-side-meta | assets/css/components/shell/doke-shell-contract.css :: .app-header | assets/css/components/shell/app-header.css :: .app-header | assets/css/components/shell/mobile-app-shell.css :: .home-side-meta | assets/css/components/shell/mobile-base-stability.css :: .home-side-meta | assets/css/pages/detalhe-anuncio.css :: .app-header | assets/css/pages/detalhe-anuncio-rail-parity.css :: .app-header
detalhe-anuncio.html,390x844,headers,.app-header.app-header--detail.home-side-meta,padding.bottom,0,28,28,assets/css/components/shell/desktop-topbar.css :: .home-side-meta | assets/css/components/shell/doke-shell-contract.css :: .app-header | assets/css/components/shell/app-header.css :: .app-header | assets/css/components/shell/mobile-app-shell.css :: .home-side-meta | assets/css/components/shell/mobile-base-stability.css :: .home-side-meta | assets/css/pages/detalhe-anuncio.css :: .app-header | assets/css/pages/detalhe-anuncio-rail-parity.css :: .app-header
detalhe-anuncio.html,390x844,header inner,.app-header__inner,gap,normal,8px,,assets/css/components/shell/doke-shell-contract.css :: .app-header__inner | assets/css/components/shell/app-header.css :: .app-header__inner | assets/css/pages/detalhe-anuncio.css :: .app-header__inner | assets/css/pages/detalhe-anuncio-rail-parity.css :: .app-header__inner
detalhe-anuncio.html,390x844,header inner,.app-header__inner,row-gap,normal,8px,,assets/css/components/shell/doke-shell-contract.css :: .app-header__inner | assets/css/components/shell/app-header.css :: .app-header__inner | assets/css/pages/detalhe-anuncio.css :: .app-header__inner | assets/css/pages/detalhe-anuncio-rail-parity.css :: .app-header__inner
detalhe-anuncio.html,390x844,header inner,.app-header__inner,column-gap,normal,8px,,assets/css/components/shell/doke-shell-contract.css :: .app-header__inner | assets/css/components/shell/app-header.css :: .app-header__inner | assets/css/pages/detalhe-anuncio.css :: .app-header__inner | assets/css/pages/detalhe-anuncio-rail-parity.css :: .app-header__inner
detalhe-anuncio.html,390x844,containers/rails,.doke-reviews-bar__track,x,26,0,-26,assets/css/patterns/reviews-section.css :: .doke-reviews-bar__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .doke-reviews-bar__track
detalhe-anuncio.html,390x844,containers/rails,.doke-reviews-bar__track,y,1812.16,0,-1812.16,assets/css/patterns/reviews-section.css :: .doke-reviews-bar__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .doke-reviews-bar__track
detalhe-anuncio.html,390x844,containers/rails,.doke-reviews-bar__track,width,354,0,-354,assets/css/patterns/reviews-section.css :: .doke-reviews-bar__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .doke-reviews-bar__track
detalhe-anuncio.html,390x844,containers/rails,.doke-reviews-bar__track,height,36,0,-36,assets/css/patterns/reviews-section.css :: .doke-reviews-bar__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .doke-reviews-bar__track
detalhe-anuncio.html,390x844,containers/rails,.doke-reviews-bar__track,border-radius,0px,999px,,assets/css/patterns/reviews-section.css :: .doke-reviews-bar__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .doke-reviews-bar__track
detalhe-anuncio.html,390x844,containers/rails,.doke-reviews-bar__track,font-size,16,13.44,-2.56,assets/css/patterns/reviews-section.css :: .doke-reviews-bar__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .doke-reviews-bar__track
detalhe-anuncio.html,390x844,containers/rails,.doke-reviews-bar__track,aspect-ratio,9.83,,,assets/css/patterns/reviews-section.css :: .doke-reviews-bar__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .doke-reviews-bar__track
detalhe-anuncio.html,390x844,containers/rails,.doke-reviews-bar__track,x,26,0,-26,assets/css/patterns/reviews-section.css :: .doke-reviews-bar__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .doke-reviews-bar__track
detalhe-anuncio.html,390x844,containers/rails,.doke-reviews-bar__track,y,1812.16,0,-1812.16,assets/css/patterns/reviews-section.css :: .doke-reviews-bar__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .doke-reviews-bar__track
detalhe-anuncio.html,390x844,containers/rails,.doke-reviews-bar__track,width,354,0,-354,assets/css/patterns/reviews-section.css :: .doke-reviews-bar__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .doke-reviews-bar__track
detalhe-anuncio.html,390x844,containers/rails,.doke-reviews-bar__track,height,36,0,-36,assets/css/patterns/reviews-section.css :: .doke-reviews-bar__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .doke-reviews-bar__track
detalhe-anuncio.html,390x844,containers/rails,.doke-reviews-bar__track,border-radius,0px,999px,,assets/css/patterns/reviews-section.css :: .doke-reviews-bar__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .doke-reviews-bar__track
detalhe-anuncio.html,390x844,containers/rails,.doke-reviews-bar__track,font-size,16,13.44,-2.56,assets/css/patterns/reviews-section.css :: .doke-reviews-bar__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .doke-reviews-bar__track
detalhe-anuncio.html,390x844,containers/rails,.doke-reviews-bar__track,aspect-ratio,9.83,,,assets/css/patterns/reviews-section.css :: .doke-reviews-bar__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .doke-reviews-bar__track
detalhe-anuncio.html,390x844,containers/rails,.doke-reviews-bar__track,measured-child-gap-x,0,,,assets/css/patterns/reviews-section.css :: .doke-reviews-bar__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .doke-reviews-bar__track
detalhe-anuncio.html,390x844,containers/rails,.content-rail.doke-scroll-rail.home-media-rail.home-media-rail--workers.detail-related-media-rail,x,26,16,-10,assets/css/components/shell/doke-shell-contract.css :: .content-rail | assets/css/pages/detalhe-anuncio.css :: .content-rail | assets/css/pages/detalhe-anuncio-rail-parity.css :: .content-rail | assets/css/components/cards/marketplace-card-contract.css :: .content-rail
detalhe-anuncio.html,390x844,containers/rails,.content-rail.doke-scroll-rail.home-media-rail.home-media-rail--workers.detail-related-media-rail,y,1932.97,1557.3,-375.67,assets/css/components/shell/doke-shell-contract.css :: .content-rail | assets/css/pages/detalhe-anuncio.css :: .content-rail | assets/css/pages/detalhe-anuncio-rail-parity.css :: .content-rail | assets/css/components/cards/marketplace-card-contract.css :: .content-rail
detalhe-anuncio.html,390x844,containers/rails,.content-rail.doke-scroll-rail.home-media-rail.home-media-rail--workers.detail-related-media-rail,width,354,374,20,assets/css/components/shell/doke-shell-contract.css :: .content-rail | assets/css/pages/detalhe-anuncio.css :: .content-rail | assets/css/pages/detalhe-anuncio-rail-parity.css :: .content-rail | assets/css/components/cards/marketplace-card-contract.css :: .content-rail
detalhe-anuncio.html,390x844,containers/rails,.content-rail.doke-scroll-rail.home-media-rail.home-media-rail--workers.detail-related-media-rail,height,515.42,476.41,-39.01,assets/css/components/shell/doke-shell-contract.css :: .content-rail | assets/css/pages/detalhe-anuncio.css :: .content-rail | assets/css/pages/detalhe-anuncio-rail-parity.css :: .content-rail | assets/css/components/cards/marketplace-card-contract.css :: .content-rail
detalhe-anuncio.html,390x844,containers/rails,.content-rail.doke-scroll-rail.home-media-rail.home-media-rail--workers.detail-related-media-rail,aspect-ratio,0.69,0.79,0.1,assets/css/components/shell/doke-shell-contract.css :: .content-rail | assets/css/pages/detalhe-anuncio.css :: .content-rail | assets/css/pages/detalhe-anuncio-rail-parity.css :: .content-rail | assets/css/components/cards/marketplace-card-contract.css :: .content-rail
detalhe-anuncio.html,390x844,containers/rails,.content-rail.doke-scroll-rail.home-media-rail.home-media-rail--workers.detail-related-media-rail,media.height,148,476.41,328.41,assets/css/components/shell/doke-shell-contract.css :: .content-rail | assets/css/pages/detalhe-anuncio.css :: .content-rail | assets/css/pages/detalhe-anuncio-rail-parity.css :: .content-rail | assets/css/components/cards/marketplace-card-contract.css :: .content-rail
detalhe-anuncio.html,390x844,containers/rails,.content-rail.doke-scroll-rail.home-media-rail.home-media-rail--workers.detail-related-media-rail,media.aspect-ratio,0.72,0.79,0.07,assets/css/components/shell/doke-shell-contract.css :: .content-rail | assets/css/pages/detalhe-anuncio.css :: .content-rail | assets/css/pages/detalhe-anuncio-rail-parity.css :: .content-rail | assets/css/components/cards/marketplace-card-contract.css :: .content-rail
detalhe-anuncio.html,390x844,containers/rails,.short-videos__track.detail-related-workers__track,y,1932.97,1557.3,-375.67,assets/css/pages/detalhe-anuncio.css :: .detail-related-workers__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .detail-related-workers__track | assets/css/components/cards/marketplace-card-contract.css :: .short-videos__track
detalhe-anuncio.html,390x844,containers/rails,.short-videos__track.detail-related-workers__track,height,515.42,476.41,-39.01,assets/css/pages/detalhe-anuncio.css :: .detail-related-workers__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .detail-related-workers__track | assets/css/components/cards/marketplace-card-contract.css :: .short-videos__track
detalhe-anuncio.html,390x844,containers/rails,.short-videos__track.detail-related-workers__track,aspect-ratio,0.69,0.74,0.05,assets/css/pages/detalhe-anuncio.css :: .detail-related-workers__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .detail-related-workers__track | assets/css/components/cards/marketplace-card-contract.css :: .short-videos__track
detalhe-anuncio.html,390x844,containers/rails,.short-videos__track.detail-related-workers__track,gap,14px,10px,-4,assets/css/pages/detalhe-anuncio.css :: .detail-related-workers__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .detail-related-workers__track | assets/css/components/cards/marketplace-card-contract.css :: .short-videos__track
detalhe-anuncio.html,390x844,containers/rails,.short-videos__track.detail-related-workers__track,row-gap,14px,10px,-4,assets/css/pages/detalhe-anuncio.css :: .detail-related-workers__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .detail-related-workers__track | assets/css/components/cards/marketplace-card-contract.css :: .short-videos__track
detalhe-anuncio.html,390x844,containers/rails,.short-videos__track.detail-related-workers__track,column-gap,14px,10px,-4,assets/css/pages/detalhe-anuncio.css :: .detail-related-workers__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .detail-related-workers__track | assets/css/components/cards/marketplace-card-contract.css :: .short-videos__track
detalhe-anuncio.html,390x844,containers/rails,.short-videos__track.detail-related-workers__track,measured-child-gap-x,14,10,-4,assets/css/pages/detalhe-anuncio.css :: .detail-related-workers__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .detail-related-workers__track | assets/css/components/cards/marketplace-card-contract.css :: .short-videos__track
detalhe-anuncio.html,390x844,containers/rails,.short-videos__track.detail-related-workers__track,media.height,148,233.2,85.2,assets/css/pages/detalhe-anuncio.css :: .detail-related-workers__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .detail-related-workers__track | assets/css/components/cards/marketplace-card-contract.css :: .short-videos__track
detalhe-anuncio.html,390x844,containers/rails,.short-videos__track.detail-related-workers__track,media.border-radius,0px,16px,,assets/css/pages/detalhe-anuncio.css :: .detail-related-workers__track | assets/css/pages/detalhe-anuncio-rail-parity.css :: .detail-related-workers__track | assets/css/components/cards/marketplace-card-contract.css :: .short-videos__track
detalhe-anuncio.html,390x844,containers/rails,.content-rail.doke-scroll-rail.home-media-rail.home-media-rail--publications.detail-related-media-rail,x,26,16,-10,assets/css/components/shell/doke-shell-contract.css :: .content-rail | assets/css/pages/detalhe-anuncio.css :: .content-rail | assets/css/pages/detalhe-anuncio-rail-parity.css :: .content-rail | assets/css/components/cards/marketplace-card-contract.css :: .content-rail
detalhe-anuncio.html,390x844,containers/rails,.content-rail.doke-scroll-rail.home-media-rail.home-media-rail--publications.detail-related-media-rail,y,2533.2,2121.31,-411.89,assets/css/components/shell/doke-shell-contract.css :: .content-rail | assets/css/pages/detalhe-anuncio.css :: .content-rail | assets/css/pages/detalhe-anuncio-rail-parity.css :: .content-rail | assets/css/components/cards/marketplace-card-contract.css :: .content-rail
