priority,group,before,after,status,files
P1,app-header,23,0,PASS,"assets/css/components/layout/responsive-priority-contract.css; assets/css/components/shell/app-header-canonical-contract.css"
P1,app-header__inner,27,0,PASS,"assets/css/components/layout/responsive-priority-contract.css; assets/css/components/shell/app-header-canonical-contract.css"
P1,search-back-equivalent,11,0,PASS,"assets/css/components/layout/responsive-priority-contract.css"
P1,location-pill,7,0,PASS,"assets/css/components/layout/responsive-priority-contract.css"
P1,profile-pill,11,0,PASS,"assets/css/components/layout/responsive-priority-contract.css"
P1,avatar,7,0,PASS,"assets/css/components/layout/responsive-priority-contract.css"
P1,body-horizontal-overflow,0,0,PASS,"assets/css/components/layout/overflow-text-clipping-contract.css; assets/css/components/shell/shared-page-width-contract.css"
P2,doke-ad-card,36,0,PASS,"assets/css/components/layout/responsive-priority-cards.css"
P2,publication-card,22,0,PASS,"assets/css/components/layout/responsive-priority-cards.css"
P2,video-worker-card,36,0,PASS,"assets/css/components/layout/responsive-priority-cards.css"
P2,review-card,5,0,PASS,"scripts/test-responsive-contract.js"
P3,section-header-contract,134,29,PARTIAL,"assets/css/components/sections/section-header-canonical-contract.css"
P3,overflow-text-clipping,316,260,PARTIAL,"assets/css/components/layout/overflow-text-clipping-contract.css"
FINAL,responsive-contract-test,99,0,PASS,"scripts/test-responsive-contract.js; assets/css/components/layout/responsive-priority-cards.css"
