page,breakpoint,beforeMainX,afterMainX,expectedMainX,xDiffAfter,beforeMainWidth,afterMainWidth,expectedMainWidth,widthDiffAfter,beforeFirstTop,afterFirstTop,beforeOverflowX,afterOverflowX,status
index.html,390x844,18,18,18,0,354,354,354,0,76,74,false,false,OK
detalhe-anuncio.html,390x844,18,18,18,0,354,354,354,0,61.97,125.97,false,false,OK
perfil.html,390x844,18,18,18,0,354,354,354,0,,,false,false,OK
resultados.html,390x844,18,18,18,0,354,354,354,0,0,0,false,false,OK
pedidos.html,390x844,18,18,18,0,354,354,354,0,30,94,false,false,OK
mensagens.html,390x844,18,18,18,0,354,354,354,0,188,188,false,false,OK
notificacoes.html,390x844,18,18,18,0,354,354,354,0,12,76,false,false,OK
comunidade.html,390x844,18,18,18,0,354,354,354,0,224,282,false,false,OK
configuracoes.html,390x844,0,18,18,0,390,354,354,0,0,0,false,false,OK
carteira.html,390x844,18,18,18,0,354,354,354,0,,,false,false,OK
index.html,608x926,18,18,18,0,572,572,572,0,128.23,110,true,true,OUT_OF_CONTRACT
detalhe-anuncio.html,608x926,18,18,18,0,572,572,572,0,131,131,false,false,OK
perfil.html,608x926,18,18,18,0,572,572,572,0,,,false,false,OK
resultados.html,608x926,18,18,18,0,572,572,572,0,98,98,false,false,OK
pedidos.html,608x926,18,18,18,0,572,572,572,0,0,0,false,false,OK
mensagens.html,608x926,18,18,18,0,572,572,572,0,118,118,false,false,OK
notificacoes.html,608x926,18,18,18,0,572,572,572,0,98,98,false,false,OK
comunidade.html,608x926,18,18,18,0,572,572,572,0,112,112,false,false,OK
configuracoes.html,608x926,0,0,18,-18,608,608,572,36,0,0,false,false,OUT_OF_CONTRACT
carteira.html,608x926,18,18,18,0,572,572,572,0,,,false,false,OK
index.html,810x1080,304.3,304.3,304.3,0,481.39,481.39,481.39,0,108,108,false,false,OK
detalhe-anuncio.html,810x1080,24,304.3,304.3,0,762,481.39,481.39,0,149,149,false,false,OK
perfil.html,810x1080,40,304.3,304.3,0,720,481.39,481.39,0,,,false,false,OK
resultados.html,810x1080,34.02,304.3,304.3,0,741.95,481.39,481.39,0,86,86,false,false,OK
pedidos.html,810x1080,34.02,304.3,304.3,0,741.95,481.39,481.39,0,0,0,false,false,OK
mensagens.html,810x1080,0,0,304.3,-304.3,810,810,481.39,328.61,86,86,false,false,OUT_OF_CONTRACT
notificacoes.html,810x1080,34.02,304.3,304.3,0,741.95,481.39,481.39,0,86,86,false,false,OK
comunidade.html,810x1080,34.02,304.3,304.3,0,741.95,481.39,481.39,0,90,90,false,false,OK
configuracoes.html,810x1080,0,0,304.3,-304.3,810,810,481.39,328.61,0,0,false,false,OUT_OF_CONTRACT
carteira.html,810x1080,34.02,304.3,304.3,0,741.95,481.39,481.39,0,,,false,false,OK
index.html,1024x768,310.72,310.72,310.72,0,682.55,682.55,682.55,0,108,108,false,false,OK
detalhe-anuncio.html,1024x768,131,310.72,310.72,0,762,682.55,682.55,0,149,149,false,false,OK
perfil.html,1024x768,57,310.72,310.72,0,900,682.55,682.55,0,,,false,false,OK
resultados.html,1024x768,52,310.72,310.72,0,920,682.55,682.55,0,86,86,false,false,OK
pedidos.html,1024x768,52,310.72,310.72,0,920,682.55,682.55,0,0,0,false,false,OK
mensagens.html,1024x768,0,0,310.72,-310.72,1024,1024,682.55,341.45,86,86,false,false,OUT_OF_CONTRACT
notificacoes.html,1024x768,52,310.72,310.72,0,920,682.55,682.55,0,86,86,false,false,OK
comunidade.html,1024x768,52,310.72,310.72,0,920,682.55,682.55,0,90,90,false,false,OK
configuracoes.html,1024x768,0,0,310.72,-310.72,1024,1024,682.55,341.45,0,0,false,false,OUT_OF_CONTRACT
carteira.html,1024x768,52,310.72,310.72,0,920,682.55,682.55,0,,,false,false,OK
index.html,1280x800,328,328,328,0,904,904,904,0,108,108,false,false,OK
detalhe-anuncio.html,1280x800,318.41,328,328,0,923.19,904,904,0,147.03,147.03,false,false,OK
perfil.html,1280x800,328,328,328,0,894,894,904,-10,,,false,false,OUT_OF_CONTRACT
resultados.html,1280x800,318.41,328,328,0,923.19,904,904,0,96,96,false,false,OK
pedidos.html,1280x800,318.41,328,328,0,923.19,904,904,0,136,136,false,false,OK
mensagens.html,1280x800,318.41,318.41,328,-9.59,923.19,923.19,904,19.19,180,180,false,false,OUT_OF_CONTRACT
notificacoes.html,1280x800,318.41,328,328,0,923.19,904,904,0,108,108,false,false,OK
comunidade.html,1280x800,318.41,328,328,0,923.19,904,904,0,112,112,false,false,OK
configuracoes.html,1280x800,280,328,328,0,1000,904,904,0,0,0,false,false,OK
carteira.html,1280x800,318.41,328,328,0,923.19,904,904,0,,,false,false,OK
