page,breakpoint,component,selector,property,expected,actual,difference,probableCss
"index.html","390x844","Mais anúncios",".more-services > .section-heading","header.height","30","53","23","assets/css/pages/home/chrome.css; assets/css/pages/home/hero.css; assets/css/pages/home/index-final-refinement.css; assets/css/pages/home/layout.css"
"detalhe-anuncio.html","390x844","Publicações desse anúncio",".detail-section--ad-publications > .detail-section__header","header.height","30","34.125","4.13","assets/css/pages/detalhe-anuncio/detail-content.css; assets/css/pages/detalhe-anuncio/detail-legacy.css; assets/css/pages/detalhe-anuncio/detail-responsive.css; assets/css/pages/detalhe-anuncio-rail-parity.css"
"detalhe-anuncio.html","390x844","Compare antes de contratar",".detail-section--similar-ads > .detail-section__header","header.height","30","34.125","4.13","assets/css/pages/detalhe-anuncio/detail-content.css; assets/css/pages/detalhe-anuncio/detail-legacy.css; assets/css/pages/detalhe-anuncio/detail-responsive.css; assets/css/pages/detalhe-anuncio-rail-parity.css"
"comunidade.html","390x844","Comunidade / seções",".communities-v2-section__heading","header.height","30","57.0625","27.06","assets/css/pages/comunidade/compact-cards-v4.css; assets/css/pages/comunidade/discovery-v2.css; assets/css/pages/comunidade/discovery-v3.css; assets/css/pages/comunidade/image-cover-redesign.css"
"configuracoes.html","390x844","Configurações / seções",".settings-section-heading","header.height","30","86","56","assets/css/pages/configuracoes.css; assets/css/components/shell/doke-shell-contract.css; assets/css/components/sections/section-header-canonical-contract.css"
"index.html","608x926","Mais anúncios",".more-services > .section-heading","header.height","32","85","53","assets/css/pages/home/chrome.css; assets/css/pages/home/hero.css; assets/css/pages/home/index-final-refinement.css; assets/css/pages/home/layout.css"
"detalhe-anuncio.html","608x926","Workers relacionados",".detail-section--ad-workers > .detail-section__header","header.height","32","36.265625","4.27","assets/css/pages/detalhe-anuncio/detail-content.css; assets/css/pages/detalhe-anuncio/detail-legacy.css; assets/css/pages/detalhe-anuncio/detail-responsive.css; assets/css/pages/detalhe-anuncio-rail-parity.css"
"detalhe-anuncio.html","608x926","Publicações desse anúncio",".detail-section--ad-publications > .detail-section__header","header.height","32","36.265625","4.27","assets/css/pages/detalhe-anuncio/detail-content.css; assets/css/pages/detalhe-anuncio/detail-legacy.css; assets/css/pages/detalhe-anuncio/detail-responsive.css; assets/css/pages/detalhe-anuncio-rail-parity.css"
"detalhe-anuncio.html","608x926","Compare antes de contratar",".detail-section--similar-ads > .detail-section__header","header.height","32","36.265625","4.27","assets/css/pages/detalhe-anuncio/detail-content.css; assets/css/pages/detalhe-anuncio/detail-legacy.css; assets/css/pages/detalhe-anuncio/detail-responsive.css; assets/css/pages/detalhe-anuncio-rail-parity.css"
"comunidade.html","608x926","Comunidade / seções",".communities-v2-section__heading","header.height","32","58.546875","26.55","assets/css/pages/comunidade/compact-cards-v4.css; assets/css/pages/comunidade/discovery-v2.css; assets/css/pages/comunidade/discovery-v3.css; assets/css/pages/comunidade/image-cover-redesign.css"
